,50,60,70,80,90,100,110,120,130,140,150
1,113,315,149,585,105,454,162,114,208,237,94
2,104,775,442,50,76,53,149,74,145,97,134
3,131,203,200,310,379,85,165,174,115,162,247
4,743,148,302,291,117,91,95,221,198,62,60
5,238,207,754,332,73,148,129,145,156,92,57
6,1514,236,159,106,210,158,47,67,100,68,104
7,203,142,380,133,149,126,125,58,77,109,144
8,260,196,760,602,262,338,98,128,201,112,50
9,112,155,125,233,291,369,84,152,229,54,138
10,459,190,187,1170,90,84,105,147,94,80,133
11,1485,1837,101,112,110,171,186,80,227,110,47
12,74,627,274,261,178,117,274,76,72,43,96
13,195,212,2023,759,165,119,65,93,101,59,73
14,81,659,252,260,136,158,648,263,139,54,72
15,419,1121,138,481,269,144,65,63,142,135,92
16,233,160,675,63,231,551,164,130,96,87,100
17,725,629,732,178,162,297,199,120,35,92,57
18,129,100,662,506,191,406,89,198,84,74,194
19,111,443,118,263,234,111,141,71,101,73,84
20,120,371,467,423,184,132,232,110,61,61,111
21,464,430,86,185,94,127,164,54,89,78,88
22,517,187,498,656,136,131,253,93,177,127,100
23,619,2224,58,141,71,431,116,51,155,48,63
24,82,1070,217,131,221,167,121,154,113,84,86
25,355,763,770,282,271,226,133,504,283,120,132
26,1239,250,96,61,102,168,191,173,212,114,91
27,2250,100,247,223,77,335,101,86,123,56,140
28,170,95,265,491,243,56,107,83,90,93,121
29,142,350,835,122,68,271,66,183,88,58,78
30,231,98,253,237,169,246,224,77,123,208,234
31,658,227,211,91,326,253,108,174,114,90,70
32,310,255,247,230,138,330,74,758,109,139,48
33,104,112,147,143,128,79,331,135,73,76,96
34,60,737,98,212,563,122,40,115,122,168,74
35,309,341,2218,130,422,91,199,98,68,98,108
36,442,747,591,622,234,84,63,115,92,97,71
37,101,145,1814,181,134,143,108,175,93,100,54
38,221,1159,476,254,165,252,326,99,106,96,97
39,206,906,140,376,367,134,318,108,202,118,93
40,784,316,77,69,84,243,114,57,213,221,106
41,98,82,330,121,75,220,126,299,183,319,88
42,100,195,951,426,381,78,328,101,82,51,169
43,160,657,739,201,123,175,73,70,70,80,64
44,72,149,341,199,136,224,54,415,97,81,113
45,362,658,411,88,207,82,99,105,330,301,79
46,200,70,277,119,75,53,66,154,135,52,84
47,269,1203,685,91,200,92,132,84,121,106,79
48,326,135,137,263,121,60,126,74,53,233,57
49,103,987,177,101,317,81,80,231,734,71,59
50,1121,516,422,149,438,189,45,191,165,103,84
51,642,336,1315,60,140,196,112,88,90,91,76
52,119,92,184,226,294,118,167,270,173,183,68
53,219,143,239,121,100,340,125,256,62,59,58
54,651,110,609,186,208,111,54,97,162,41,229
55,78,1243,125,83,451,115,178,56,516,53,69
56,500,252,846,102,461,182,275,131,186,175,45
57,640,518,420,277,161,251,301,153,87,172,75
58,490,145,118,245,439,221,344,591,45,79,98
59,177,1449,188,203,150,53,83,62,209,51,44
60,140,295,143,131,374,266,94,67,170,71,96
61,1375,400,445,148,389,335,189,189,199,72,154
62,446,765,199,1768,196,549,142,79,62,145,408
63,150,4706,455,518,276,377,104,114,110,59,49
64,294,105,1131,192,325,102,108,319,292,147,72
65,139,1445,371,145,86,262,340,53,92,86,117
66,164,72,141,127,220,86,121,178,66,51,65
67,375,130,1118,212,126,473,139,151,174,92,49
68,134,1210,1316,1125,155,115,126,159,119,115,80
69,151,972,400,91,75,210,74,149,94,180,53
70,108,513,399,464,253,186,736,562,190,85,148
71,454,810,218,161,369,190,98,351,94,118,155
72,229,116,747,280,171,76,61,121,73,97,138
73,340,271,1139,579,106,132,461,116,195,120,42
74,695,97,263,753,62,146,122,103,116,72,85
75,256,426,223,107,128,83,137,65,59,78,57
76,261,95,115,186,167,102,74,115,84,70,96
77,93,49,91,88,198,138,206,171,147,100,60
78,383,264,1425,158,130,62,57,79,146,119,61
79,91,118,157,577,363,259,165,112,120,131,101
80,108,464,91,256,46,205,260,168,274,45,117
81,514,109,103,149,232,230,747,119,92,103,82
82,99,209,137,1137,254,102,74,349,189,54,95
83,835,269,272,590,101,125,45,81,158,169,206
84,344,171,261,200,153,77,68,97,52,118,83
85,836,208,1154,269,118,130,141,245,222,80,83
86,143,322,247,44,189,94,103,57,108,269,95
87,264,829,440,458,65,127,95,108,146,216,66
88,993,117,136,245,75,98,100,88,89,111,168
89,277,128,76,131,115,358,222,152,120,74,62
90,281,115,659,126,118,302,266,153,83,89,139
91,1038,120,295,246,80,375,93,148,62,67,230
92,584,732,200,91,903,408,125,126,148,102,103
93,156,322,188,402,270,110,68,141,42,94,138
94,500,81,220,54,350,87,94,70,108,232,52
95,477,239,378,112,133,204,104,83,44,102,186
96,140,232,279,494,167,139,55,171,163,105,53
97,507,92,105,157,166,153,83,121,216,89,84
98,312,268,195,305,172,143,69,207,110,188,47
99,577,393,230,92,103,143,188,179,225,93,117
100,960,336,157,47,96,324,127,150,106,109,153
