,50,60,70,80,90,100,110,120,130,140,150
1,66,70,65,68,22,53,44,19,41,23,13
2,51,70,67,2,12,3,31,5,10,26,17
3,65,69,64,70,45,21,32,31,27,33,30
4,70,47,68,63,43,13,19,43,33,3,4
5,68,48,70,65,6,44,19,16,26,10,2
6,70,67,57,34,59,20,2,6,14,7,16
7,67,68,69,44,28,45,17,3,8,16,23
8,66,65,69,58,65,44,20,35,25,7,2
9,64,67,66,41,58,40,7,31,45,3,13
10,70,61,61,70,22,10,11,37,9,7,15
11,70,69,28,56,25,42,33,8,28,12,2
12,26,70,63,45,45,24,56,9,8,2,7
13,70,67,70,70,32,28,4,17,19,3,4
14,26,70,68,37,47,51,68,38,25,2,4
15,70,70,45,66,55,45,5,5,22,26,8
16,69,70,69,6,67,64,32,24,20,13,7
17,70,70,70,51,53,55,30,26,2,8,2
18,24,26,70,63,22,50,19,36,10,6,37
19,70,63,32,61,57,22,19,12,27,5,14
20,36,69,69,58,48,36,47,25,3,6,9
21,70,69,20,58,24,31,11,6,18,6,9
22,70,49,68,64,48,17,46,22,24,17,7
23,70,70,5,56,5,59,31,2,22,2,4
24,35,70,62,44,56,39,36,18,21,10,9
25,69,70,70,49,62,21,28,58,31,31,36
26,70,69,33,6,10,43,34,52,27,28,10
27,70,52,59,50,7,45,15,8,26,3,27
28,61,56,64,66,57,3,14,10,12,7,18
29,66,70,70,20,11,26,3,35,23,3,8
30,55,13,69,41,53,48,62,8,35,51,41
31,70,70,63,12,59,41,8,50,34,8,7
32,65,69,64,61,35,25,9,65,16,35,2
33,36,61,67,57,28,14,54,25,9,8,14
34,5,64,24,44,68,22,2,47,19,31,7
35,70,70,70,43,63,19,51,34,3,8,11
36,69,70,59,69,56,10,4,10,11,14,7
37,55,60,70,41,25,10,20,42,17,13,3
38,68,70,70,68,53,57,57,14,23,11,17
39,59,70,58,62,56,51,56,16,36,17,8
40,70,67,21,7,9,42,29,4,22,40,8
41,20,21,66,17,9,53,29,35,27,37,5
42,41,68,70,68,63,20,60,12,8,2,18
43,59,68,69,46,24,26,11,11,7,13,5
44,19,31,66,54,33,51,2,55,14,6,17
45,69,70,68,9,41,10,35,25,34,39,4
46,62,10,67,31,9,3,4,40,11,2,6
47,70,70,69,13,43,27,16,11,26,9,7
48,69,60,59,57,41,4,56,11,3,25,2
49,66,69,54,36,52,12,8,17,35,9,3
50,70,69,61,45,52,62,2,50,43,11,8
51,70,66,70,5,38,11,17,10,12,14,11
52,37,42,64,61,34,38,30,43,16,18,4
53,63,26,42,41,11,44,37,32,3,3,4
54,70,48,70,56,62,16,2,17,27,2,28
55,16,70,38,18,63,29,41,4,49,3,4
56,70,67,69,34,68,39,49,24,23,30,2
57,70,70,51,64,32,47,61,20,8,22,5
58,69,63,53,51,50,56,47,48,2,13,10
59,68,70,62,63,65,4,9,5,46,2,2
60,51,61,39,37,66,49,9,6,24,5,5
61,70,70,69,57,60,47,30,33,39,4,37
62,69,70,52,70,50,63,48,10,5,25,59
63,67,70,60,66,47,57,19,17,13,3,2
64,68,54,69,67,62,14,18,50,40,24,5
65,39,70,66,63,17,44,64,2,11,14,15
66,66,8,56,29,48,10,20,39,3,3,3
67,70,58,70,59,25,64,28,20,29,17,2
68,68,70,70,70,28,9,13,32,18,17,10
69,68,70,69,8,8,42,4,33,15,37,2
70,30,68,66,65,62,48,67,52,47,7,16
71,65,70,61,17,66,64,30,51,14,18,16
72,70,62,67,49,46,7,3,26,8,8,26
73,70,69,69,56,11,44,60,32,27,22,2
74,70,64,70,69,4,48,40,8,13,4,4
75,67,60,69,51,56,21,39,7,4,4,2
76,70,70,36,39,50,30,5,32,8,5,7
77,29,1,37,10,29,30,41,33,20,22,3
78,69,61,70,67,28,5,2,10,28,16,3
79,16,65,60,70,46,66,49,11,11,13,7
80,43,65,50,22,2,53,41,20,51,2,14
81,70,35,23,54,56,44,58,27,6,7,13
82,31,56,61,70,58,36,6,25,31,2,7
83,70,70,62,59,38,55,1,7,23,12,34
84,68,66,69,66,32,8,4,15,3,14,7
85,70,65,70,55,27,60,33,30,45,6,6
86,54,69,63,2,59,15,20,3,26,28,8
87,69,69,67,58,4,54,10,8,32,38,4
88,70,53,68,57,10,15,22,12,17,25,25
89,70,53,6,49,25,60,40,32,27,6,3
90,70,62,70,58,43,64,30,18,12,14,38
91,70,63,43,66,11,63,18,21,2,6,28
92,70,69,59,30,60,67,42,18,26,22,9
93,63,70,61,69,63,28,7,21,2,10,13
94,61,9,67,5,61,16,13,6,23,35,4
95,69,64,65,56,52,44,8,11,2,8,18
96,60,60,70,69,62,31,5,42,15,21,2
97,69,27,38,42,58,49,8,47,47,13,8
98,67,67,64,60,57,41,6,54,16,42,2
99,68,70,60,15,26,31,51,21,35,6,19
100,70,68,60,2,15,59,18,29,18,9,29
