,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
1,175,172,186,226,145,94,294,113,103,497,629,426,2886,1536,2393,1815
2,76,77,189,133,58,867,999,461,109,113,319,589,1492,1678,2283,107
3,72,145,138,167,132,138,303,274,213,193,268,598,1269,751,3982,264
4,70,128,72,53,87,203,571,329,553,182,409,1018,620,9193,5483,633
5,121,77,107,108,90,247,214,236,482,340,628,952,331,1286,5965,771
6,66,77,222,319,118,143,90,211,383,46,729,250,3167,280,1769,3148
7,97,59,56,149,171,52,213,587,160,502,149,96,2755,131,295,385
8,75,80,128,90,92,114,456,678,332,737,254,159,140,851,2273,577
9,72,94,101,191,93,143,259,618,83,85,588,817,100,878,103,1850
10,93,88,124,63,172,83,769,195,748,671,653,54,1165,1775,143,404
11,91,110,152,175,135,586,152,651,54,211,553,238,86,199,2031,4300
12,113,126,348,320,96,156,114,101,121,445,1145,120,70,713,598,649
13,79,176,156,52,74,128,88,77,274,73,323,55,161,637,1576,1210
14,85,44,158,157,114,86,198,823,368,103,171,295,1623,675,1365,2025
15,81,107,71,86,158,160,170,191,301,1530,455,1246,273,218,6435,8465
16,68,143,160,124,216,147,315,204,448,164,765,512,158,2978,4938,839
17,89,104,242,66,82,242,193,72,81,48,95,1854,1415,1827,2029,2675
18,38,134,83,138,447,146,159,886,523,252,581,1358,298,1292,2349,2412
19,82,101,128,180,171,162,106,144,177,162,112,1213,1609,1292,3603,669
20,91,73,58,108,170,119,190,181,228,82,164,744,1140,658,1065,6614
21,88,200,421,165,275,144,202,527,194,241,309,1731,738,154,24419,1771
22,72,93,77,323,197,374,236,133,927,323,115,4410,952,114,121,2585
23,44,102,68,95,87,128,184,692,634,312,1208,543,822,163,1577,11974
24,133,200,61,119,160,592,423,339,90,253,76,85,700,1871,87,707
25,68,83,231,122,271,226,224,1402,186,367,2602,3022,4678,2006,624,3393
26,126,117,62,241,262,597,134,183,151,244,312,859,64,170,323,1092
27,188,49,45,88,47,115,104,350,279,493,62,453,161,331,938,1610
28,60,115,99,419,107,69,115,382,215,87,1170,667,323,3563,8231,3364
29,326,138,107,74,46,141,474,168,439,84,400,113,722,371,106,20265
30,82,160,133,559,134,134,729,83,374,817,121,146,1000,254,117,1591
31,102,188,525,70,89,148,103,160,119,88,653,2239,847,547,5649,4524
32,53,96,177,114,131,87,79,154,100,107,242,329,1374,2905,662,228
33,68,225,116,44,171,129,111,920,379,485,414,477,509,632,219,3888
34,73,95,116,134,241,277,151,115,590,164,442,560,978,1131,545,3213
35,121,66,58,150,45,67,66,418,661,239,381,2306,158,121,264,2129
36,95,74,122,169,159,181,133,288,69,1254,109,119,166,3261,1834,4324
37,72,74,71,228,78,182,144,82,77,45,1154,373,454,158,625,2399
38,81,53,52,112,269,187,529,367,151,141,373,396,2634,921,1438,10237
39,104,79,100,624,103,76,317,367,540,201,270,186,718,443,4093,5784
40,78,79,37,379,518,135,175,217,518,404,535,1180,849,1864,169,1823
41,145,51,111,78,80,161,80,365,129,424,461,310,79,3201,1300,6696
42,57,59,46,88,127,357,80,514,96,928,432,7592,3097,1755,105,7935
43,153,126,62,61,160,183,166,1794,161,115,567,458,133,849,1132,2221
44,47,109,102,175,139,88,201,372,54,618,371,203,1079,1145,2088,184
45,48,73,97,117,173,72,334,173,423,130,335,92,392,188,157,510
46,60,96,327,138,148,225,213,306,165,816,104,2192,683,1496,2047,144
47,65,89,124,147,266,51,126,268,141,149,93,481,171,733,2725,1533
48,77,101,48,139,81,330,360,1921,213,127,229,380,606,175,3999,3884
49,124,97,67,153,81,245,340,117,124,351,734,979,93,492,453,6367
50,127,41,149,51,164,139,160,170,222,915,108,119,700,1264,9573,660
