,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300
1,44,50,39,61,19,20,55,43,10,67,70,66,70,68,70,69
2,13,9,22,48,6,67,69,60,18,13,56,67,67,70,70,33
3,10,20,32,53,36,43,63,69,49,50,45,69,69,67,70,59
4,7,35,11,2,11,52,60,53,66,49,67,61,68,70,70,68
5,27,11,20,30,6,64,61,61,65,69,66,70,67,70,70,69
6,6,7,39,50,13,27,9,59,60,2,67,63,69,43,70,70
7,25,4,3,19,40,2,40,60,52,51,42,27,70,33,32,61
8,7,11,14,27,21,42,61,70,67,70,43,31,32,70,70,70
9,12,14,34,52,10,43,45,55,9,26,56,64,17,69,5,69
10,22,20,40,3,61,16,67,61,69,65,68,2,68,68,33,70
11,22,24,49,37,22,46,61,70,4,67,70,56,7,59,70,70
12,21,16,51,58,22,33,19,36,11,53,66,51,5,69,60,70
13,11,52,28,2,17,40,19,7,42,4,56,2,21,69,69,70
14,10,2,33,36,24,19,51,70,63,19,61,70,69,61,68,70
15,16,26,8,12,40,61,54,36,47,67,68,69,65,58,70,70
16,17,27,42,52,43,29,55,59,68,51,68,68,49,70,70,69
17,34,20,49,6,8,55,48,7,13,2,12,70,70,70,70,70
18,1,41,15,38,56,44,39,70,65,50,68,69,45,70,70,70
19,22,32,24,41,20,30,13,54,33,33,23,70,70,70,70,70
20,12,8,5,19,56,22,55,29,46,9,60,69,68,66,70,70
21,13,43,54,47,48,35,54,67,36,66,47,70,62,52,70,70
22,12,25,12,56,49,46,59,27,70,54,42,70,70,15,24,69
23,2,20,4,27,6,30,41,70,58,43,70,66,69,49,70,70
24,22,32,9,41,48,66,67,60,29,50,5,9,70,70,9,69
25,9,10,38,47,65,27,41,68,31,63,70,70,70,69,67,70
26,43,23,7,59,63,63,39,63,37,34,38,65,2,46,65,70
27,46,2,2,19,2,35,24,58,60,69,4,65,53,62,69,70
28,10,43,28,51,18,7,34,55,60,7,69,70,56,70,70,70
29,60,18,18,7,2,44,68,28,51,11,69,23,69,66,26,70
30,8,33,27,56,40,36,70,14,68,70,16,35,70,54,40,70
31,11,34,54,6,13,45,9,29,11,7,40,70,66,70,70,70
32,4,24,57,17,38,12,6,11,10,39,30,62,68,70,69,33
33,5,39,33,2,51,47,20,70,52,68,64,61,57,56,16,70
34,19,21,20,38,35,54,38,17,61,63,69,67,60,69,66,70
35,20,19,6,48,3,6,4,59,66,44,66,65,40,45,49,69
36,18,9,26,40,50,38,28,16,6,70,15,31,48,70,70,70
37,16,13,4,46,10,33,26,20,4,2,52,66,61,61,70,69
38,16,3,3,20,36,39,57,64,33,50,65,70,70,70,70,70
39,10,19,36,64,22,9,58,52,66,62,56,49,70,53,70,70
40,13,11,2,67,55,54,54,56,66,56,68,70,69,70,49,70
41,30,2,36,24,16,37,10,66,26,70,38,59,4,70,70,70
42,5,4,2,18,37,55,9,65,26,70,60,70,70,70,23,70
43,27,48,7,4,14,43,46,69,43,41,67,69,29,69,57,70
44,2,17,21,51,21,20,60,50,2,69,68,58,70,69,70,65
45,3,9,12,21,47,7,64,42,59,20,68,21,66,68,44,70
46,3,24,43,60,42,65,50,62,59,69,21,70,64,70,70,32
47,9,8,38,22,46,2,16,52,58,29,15,66,44,70,68,70
48,12,18,2,43,16,38,63,68,55,12,23,66,70,60,70,69
49,36,14,13,41,26,52,64,46,52,62,70,70,11,67,51,70
50,16,2,36,4,25,33,55,44,43,69,11,35,65,70,70,66
